1	4885	0.013578414916992188
10	5686	0.010384321212768555
100	26372	tle
11	19755	tle
12	14275	tle
13	14469	6.594114780426025
14	17154	0.003195047378540039
15	8223	0.0816037654876709
16	13137	0.14744853973388672
17	0	0.0001895427703857422
18	26675	tle
19	0	0.0002486705780029297
2	13930	0.11345338821411133
20	4016	0.0015804767608642578
21	16984	tle
22	9659	tle
23	28482	tle
24	17239	tle
25	42080	tle
26	32293	tle
27	17680	tle
28	8235	tle
29	21550	tle
3	3196	0.0005347728729248047
30	0	0.0007538795471191406
31	10511	tle
32	18810	51.17334198951721
33	15317	tle
34	22772	tle
35	616	0.0022284984588623047
36	16944	tle
37	30640	tle
38	10512	0.042452096939086914
39	18509	tle
4	0	0.0002231597900390625
40	4806	0.2702348232269287
41	17013	tle
42	20582	tle
43	23300	tle
44	26001	tle
45	19175	tle
46	19246	tle
47	14706	tle
48	27161	tle
49	18228	tle
5	13048	0.013625621795654297
50	24946	tle
51	21393	tle
52	22931	tle
53	18682	tle
54	17091	tle
55	15941	tle
56	24850	tle
57	669	0.005795717239379883
58	10160	tle
59	14881	tle
6	12958	tle
60	10626	4.624058723449707
61	19055	tle
62	16206	tle
63	19300	tle
64	19392	tle
65	34464	tle
66	15770	tle
67	10848	61.563069343566895
68	30657	tle
69	13733	tle
7	9648	0.0007474422454833984
70	24390	tle
71	20340	tle
72	21425	tle
73	23125	tle
74	11877	tle
75	18202	168.94813132286072
76	13224	51.77832221984863
77	4896	0.02844691276550293
78	23994	tle
79	28764	tle
8	0	0.000247955322265625
80	40641	tle
81	12908	tle
82	16613	tle
83	1826	0.02870464324951172
84	20078	tle
85	13644	tle
86	13706	tle
87	18600	tle
88	24648	tle
89	14851	tle
9	1806	0.0004506111145019531
90	16514	tle
91	24682	tle
92	16397	tle
93	6762	0.0927128791809082
94	16882	tle
95	20417	tle
96	17994	tle
97	21513	tle
98	18480	tle
99	9854	tle
